957,0378692150116
951,4965982437134
952,7337443828583
949,4767253398895
949,1667037010193
949,7501254081726
947,0740933418274
949,6833992004395
953,4660065174103
979,0897972583771
966,9930849075317
957,3363177776337
952,4254198074341
951,7083013057709
953,1202156543732
953,8974659442902
953,5791676044464
954,3297984600067
953,2815737724304
950,4497015476227
949,3873789310455
949,9797356128693
955,4147257804871
954,0173738002777
952,4026622772217
953,3149092197418
954,038964509964
952,3396482467651
950,5291769504547
950,6159830093384
